discounted_price,actual_price,discount_percentage,rating,rating_count,review_title,main_category,sub_category
689.0,1500.0,54.0,4.2,42301.0,"Sturdy and good quality,Small cable, works fine,Average,Good one,It affects iPhones’ battery health,Did not like,awesome product,Good",Computers&Accessories,Accessories&Peripherals
30990.0,49990.0,38.0,4.3,1376.0,"Love Amazon but lg is misleading,Amazing product,Worst service from LG,Good,Simply beautiful,Satisfied with the TV,Great deal,It is quite ok",Electronics,"HomeTheater,TV&Video"
249.0,931.0,73.0,3.9,1075.0,"The metal pin is losing it's strength,Sahi h bs 44 rupe ki and dilivery charge 40,Good Charging cable,Good sturdy micro usb cable with good charging speeds,Cheapest micro USB cable in the market,boat is better than this,I bought this for 199rs best charging cable for all mobiles,Good",Computers&Accessories,Accessories&Peripherals
999.0,2399.0,58.0,4.6,3664.0,"Fantastic Ultra High Speed HDMI cable,Amazing product,Regarding cable",Electronics,"HomeTheater,TV&Video"
399.0,399.0,0.0,3.9,1951.0,"Works like Charm,Useful,Good,Very nice,Doesn't perform like an original.,Working properly,Most of the functions work,It’s Working",Electronics,"HomeTheater,TV&Video"
349.0,699.0,50.0,4.3,20850.0,"Just buy it dont even 2nd guess it,Quality is good,Nylon braided quiet sturdy,Amazing,Feels like steel harnessed wire - strong,Sturdy and durable. Useful for charging Power Banks,good,Nice quality",Computers&Accessories,Accessories&Peripherals
399.0,1099.0,64.0,4.1,2685.0,"Changing speed,Make it better,Superb Build Quality,Highly satisfied,Best Charging Cable Ever,Good value for money option,Cable quality,Nice",Computers&Accessories,Accessories&Peripherals
1699.0,2999.0,43.0,4.4,24780.0,"Works flawlessly on Ubuntu 22.04 (if installed correctly),Best for kali. Do not read another review.,Nice product,From 0 to 70 …,Good External Wifi Signal Provider,Superb,Awesome and easy to use,Good product",Computers&Accessories,NetworkingDevices
655.0,1099.0,40.0,3.2,285.0,"Rmote for MI TV,Good,Good but low quality,Remote is faulty . It looses it's connectivity with the tv atleast 50 times in a day.,Failure of the Unit.,All good, except voice recognition,But for first time user. Manually switch on and then pair. After pairing it's good,working good",Electronics,"HomeTheater,TV&Video"
749.0,1339.0,44.0,4.2,179692.0,"Works on linux for me. Get the model with antenna.,Does what it say but other brands available at lesser price,Easy Handle,Great product,Perfect working,Speed is perfect,Great Design, Build, Connectivity Range, Packaging and other features but no linux support since v2,Very good",Computers&Accessories,NetworkingDevices
9999.0,12999.0,23.0,4.2,6088.0,"An unbiased look at the Kodak TV,Sound good,It's really worthy and the most affordable,Not bad!!!,a value TV for the price,Good in all respect,Kodak tv,Smart tv",Electronics,"HomeTheater,TV&Video"
195.0,499.0,61.0,3.7,1383.0,"Good product,Not bad,WORKING WITH Airtel DTH,Good,Ok not bad,This was so old,Not bed !,Worst product",Electronics,"HomeTheater,TV&Video"
999.0,2100.0,52.0,4.5,5492.0,"Good,QUALITY IS GOOD,Value for money product,Very nice,Not supporting for CarPlay,Good,1 month review,strong enough",Computers&Accessories,Accessories&Peripherals
499.0,899.0,44.0,4.2,919.0,"Durable,Good Product,Okay 👌,So far so good,An absolute best,Good cable,Worth the money,Good for charging Not good for data transfer",Computers&Accessories,Accessories&Peripherals
416.0,599.0,31.0,4.2,30023.0,"Value for Money,A good upgrade from stock cable.,GOOD CABLE,Value for the money,Great buy,Overall good,Awesome experience,Worked as expected",Electronics,"HomeTheater,TV&Video"
368.0,699.0,47.0,4.2,387.0,"Superb,Reviewing after 3 months of use,Good braided cable.,The best cable. Very useful.,0k,Does The Job,superb  Product !!!,It's fast charging cable.",Computers&Accessories,Accessories&Peripherals
29990.0,65000.0,54.0,4.1,211.0,"Valume for money,Can’t turn off HDR in webOS while watching android apps,Webos, Magic remote & LG like UI at 19k,Satisfied,Good,Value for money,Exchange Offer AND Extended Warranty of 2 Yrsnot been Given,Overall a good product and Value for money",Electronics,"HomeTheater,TV&Video"
339.0,1099.0,69.0,4.3,974.0,"Great Cable, Charging Speeds Could Be Better,Good,A good cable.,One of the best type c cable,Works as intended.,A good buy. The extra length helps a lot.,Good,Ok",Computers&Accessories,Accessories&Peripherals
